esp_besch_0001	haber (infinitif)<div>habiendo (gérondif)</div><div>habido (participe)</div>	haber (formes non personnelles - simple)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0002	haber habido (infinitif)<div>habiendo habido (gérondif)</div>	haber (formes non personnelles - composées)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0003	he<div>has</div><div>ha</div><div>hemos</div><div>habéis</div><div>han</div>	haber (avoir) - (indicatif présent)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0004	había<div>habías</div><div>había</div><div>habíamos</div><div>habíais</div><div>habían</div>	haber (avoir) - (indicatif imparfait)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0005	hube<div>hubiste</div><div>hubo</div><div>hubimos</div><div>hubisteis</div><div>hubieron</div>	haber (avoir) - (indicatif passé simple)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0006	habré<div>habrás</div><div>habrá</div><div>habremos</div><div>habréis</div><div>habrán</div>	haber (avoir) - (indicatif futur)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0007	habría<div>habrías</div><div>habría</div><div>habríamos</div><div>habríais</div><div>habrían</div>	haber (avoir) - (indicatif conditionnel)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0008	Passé composé : he habido, ...<div>Plus-que-parfait : había habido, ...</div><div>Passé antérieur : hube habido, ...</div><div>Futur antérieur : habré habido, ...</div><div>Conditionnel passé : habría habido, ...</div>	haber (avoir) - (indicatif formes composées)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0009	haya<div>hayas</div><div>haya</div><div>hayamos</div><div>hayáis</div><div>hayan</div>	haber (avoir) - (subjonctif présent)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0010	hubiera / hubiese<div>hubieras / hubieses</div><div>hubiera / hubiese</div><div>hubiéramos / hubiésemos</div><div>hubierais / hubieseis</div><div>hubieran / hubiesen</div>	haber (avoir) - (subjonctif imparfait)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0011	hubiere<div>hubieres</div><div>hubiere</div><div>hubiéremos</div><div>hubiereis</div><div>hubieren</div>	haber (avoir) - (subjonctif futur)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0012	Passé composé : haya habido, ...<div>Plus-que-parfait : hubiera/hubiese habido, ...</div><div>Furur antérieur : hubiere habido, ...</div>	haber (avoir) - (subjonctif formes composées)	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0013	he (tú)<div>habed (vosotros)</div>	haber (avoir) - impératif	Conjugaison	Haber, ser et estar	1. Haber (avoir)
esp_besch_0014	ser (infinitif)<div>siendo (gérondif)</div><div>sido (participe)</div>	ser (être) - (formes non personnelles - simples)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0015	haber sido (infinitif)<div>habiendo sido (gérondif)</div>	ser (être) - (formes non personnelles &nbsp;composée)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0016	soy<div>eres</div><div>es&nbsp;</div><div>somos</div><div>sois</div><div>son</div>	ser (être) - (indicatif présent)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0017	he sido<div>has sido</div><div>ha sido</div><div>hemos sido</div><div>habéis sido</div><div>han sido</div>	ser (être) - (indicatif passé composé)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0018	era<div>eras</div><div>era</div><div>éramos</div><div>erais</div><div>eran</div>	ser (être) - (indicatif imparfait)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0019	había sido<div>habías sido</div><div>había sido</div><div>habíamos sido</div><div>habíais sido</div><div>habían sido</div>	ser (être) - (indicatif plus-que-parfait)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0020	fui<div>fuiste</div><div>fue</div><div>fuimos</div><div>fuisteis</div><div>fueron</div>	ser (être) - (indicatif passé simple)	Conjugaison	Haber, ser et estar	2. Ser (être)
esp_besch_0021	hube sido<div>hubiste sido</div><div>hubo sido</div><div>hubimos sido</div><div>hubisteis sido</div><div>hubieron sido</div>	ser (être) - (indicatif passé antérieur)	Conjugaison	Haber, ser et estar	2. Ser (être)
